Start time=	2023-06-27 16:33:23.328192
Time (s)	O2 conc. (ppm)
198.60	9.880E+04	10.0
199.60	9.885E+04	10.0
200.55	9.892E+04	10.0
201.48	9.897E+04	10.0
202.42	9.902E+04	10.0
203.37	9.908E+04	10.0
204.42	9.912E+04	10.0
205.45	9.918E+04	10.0
206.43	9.925E+04	10.0
207.55	9.930E+04	10.0
208.52	9.938E+04	10.0
209.46	9.943E+04	10.0
210.41	9.946E+04	10.0
211.36	9.953E+04	10.0
212.37	9.959E+04	10.0
213.32	9.964E+04	10.0
214.37	9.973E+04	10.0
215.31	9.974E+04	10.0
216.29	9.981E+04	10.0
217.25	9.986E+04	10.0
218.20	9.991E+04	10.0
219.20	9.998E+04	10.0
220.20	1.000E+05	10.0
221.26	1.001E+05	10.0
222.20	1.001E+05	10.0
223.16	1.002E+05	10.0
224.09	1.002E+05	10.0
0.46	1.007E+05	10.0
1.41	1.007E+05	10.0
2.56	1.007E+05	10.0
3.78	1.007E+05	10.0
5.09	1.007E+05	10.0
6.46	1.007E+05	10.0
7.92	1.007E+05	10.0
9.45	1.007E+05	10.0
10.47	1.007E+05	10.0
11.49	1.006E+05	10.0
12.55	1.006E+05	10.0
13.63	1.006E+05	10.0
14.70	1.006E+05	10.0
15.74	1.006E+05	10.0
0.46	2.761E+05	280000.0
1.46	2.760E+05	280000.0
2.42	2.760E+05	280000.0
3.41	2.761E+05	280000.0
4.38	2.760E+05	280000.0
5.36	2.761E+05	280000.0
6.32	2.760E+05	280000.0
7.28	2.760E+05	280000.0
8.25	2.760E+05	280000.0
9.21	2.760E+05	280000.0
10.17	2.760E+05	280000.0
11.19	2.760E+05	280000.0
12.15	2.759E+05	280000.0
13.11	2.760E+05	280000.0
14.09	2.760E+05	280000.0
15.05	2.759E+05	280000.0
16.03	2.759E+05	280000.0
17.00	2.760E+05	280000.0
17.98	2.760E+05	280000.0
18.95	2.760E+05	280000.0
19.91	2.760E+05	280000.0
20.87	2.760E+05	280000.0
21.85	2.760E+05	280000.0
22.82	2.760E+05	280000.0
23.79	2.760E+05	280000.0
24.76	2.760E+05	280000.0
25.72	2.760E+05	280000.0
26.69	2.760E+05	280000.0
27.65	2.760E+05	280000.0
28.61	2.760E+05	280000.0
29.59	2.760E+05	280000.0
30.55	2.760E+05	280000.0
31.50	2.760E+05	280000.0
32.46	2.760E+05	280000.0
33.42	2.760E+05	280000.0
34.38	2.760E+05	280000.0
35.36	2.760E+05	280000.0
36.32	2.760E+05	280000.0
37.29	2.760E+05	280000.0
38.25	2.760E+05	280000.0
39.21	2.760E+05	280000.0
40.18	2.760E+05	280000.0
41.14	2.760E+05	280000.0
42.11	2.760E+05	280000.0
43.08	2.760E+05	280000.0
44.06	2.760E+05	280000.0
45.02	2.760E+05	280000.0
46.01	2.760E+05	280000.0
46.99	2.761E+05	280000.0
47.96	2.760E+05	280000.0
48.91	2.760E+05	280000.0
49.89	2.760E+05	280000.0
50.86	2.760E+05	280000.0
51.81	2.760E+05	280000.0
52.77	2.760E+05	280000.0
53.78	2.760E+05	280000.0
54.74	2.760E+05	280000.0
55.70	2.760E+05	280000.0
56.66	2.760E+05	280000.0
57.62	2.760E+05	280000.0
58.58	2.760E+05	280000.0
59.55	2.760E+05	280000.0
0.45	1.854E+05	200000.0
1.43	1.854E+05	200000.0
2.40	1.854E+05	200000.0
3.38	1.855E+05	200000.0
4.37	1.855E+05	200000.0
5.35	1.856E+05	200000.0
6.32	1.856E+05	200000.0
7.30	1.856E+05	200000.0
8.27	1.856E+05	200000.0
9.25	1.857E+05	200000.0
10.23	1.857E+05	200000.0
11.21	1.858E+05	200000.0
12.16	1.858E+05	200000.0
13.14	1.858E+05	200000.0
14.09	1.858E+05	200000.0
15.08	1.859E+05	200000.0
16.05	1.859E+05	200000.0
17.02	1.859E+05	200000.0
18.00	1.859E+05	200000.0
18.97	1.860E+05	200000.0
19.93	1.860E+05	200000.0
20.91	1.860E+05	200000.0
21.87	1.861E+05	200000.0
22.86	1.861E+05	200000.0
23.81	1.862E+05	200000.0
24.80	1.863E+05	200000.0
25.77	1.863E+05	200000.0
26.74	1.865E+05	200000.0
27.70	1.866E+05	200000.0
28.67	1.868E+05	200000.0
29.62	1.869E+05	200000.0
30.60	1.871E+05	200000.0
31.58	1.873E+05	200000.0
32.55	1.876E+05	200000.0
33.52	1.877E+05	200000.0
34.52	1.880E+05	200000.0
35.49	1.883E+05	200000.0
36.45	1.885E+05	200000.0
37.43	1.888E+05	200000.0
38.40	1.891E+05	200000.0
39.38	1.894E+05	200000.0
40.34	1.897E+05	200000.0
41.33	1.900E+05	200000.0
42.30	1.903E+05	200000.0
43.28	1.905E+05	200000.0
44.24	1.908E+05	200000.0
45.22	1.911E+05	200000.0
46.19	1.914E+05	200000.0
47.17	1.917E+05	200000.0
48.14	1.920E+05	200000.0
49.12	1.923E+05	200000.0
50.08	1.926E+05	200000.0
51.05	1.929E+05	200000.0
52.01	1.931E+05	200000.0
52.99	1.934E+05	200000.0
