Start time=	2023-06-27 17:19:42.256286
Time (s)	O2 conc. (ppm)
41.07	4.630E+04	5.0
42.12	4.596E+04	5.0
43.22	4.561E+04	5.0
44.26	4.525E+04	5.0
45.31	4.492E+04	5.0
46.45	4.450E+04	5.0
47.50	4.415E+04	5.0
48.52	4.383E+04	5.0
49.56	4.345E+04	5.0
50.60	4.314E+04	5.0
51.64	4.279E+04	5.0
52.66	4.246E+04	5.0
53.69	4.215E+04	5.0
54.80	4.181E+04	5.0
55.87	4.148E+04	5.0
56.94	4.118E+04	5.0
58.19	4.082E+04	5.0
59.22	4.053E+04	5.0
60.27	4.026E+04	5.0
61.30	3.999E+04	5.0
62.35	3.975E+04	5.0
63.38	3.949E+04	5.0
64.52	3.926E+04	5.0
65.60	3.900E+04	5.0
66.64	3.879E+04	5.0
67.68	3.859E+04	5.0
68.78	3.838E+04	5.0
69.85	3.820E+04	5.0
70.91	3.803E+04	5.0
72.09	3.787E+04	5.0
73.15	3.772E+04	5.0
74.19	3.760E+04	5.0
75.23	3.747E+04	5.0
76.36	3.737E+04	5.0
77.42	3.728E+04	5.0
78.51	3.720E+04	5.0
79.67	3.713E+04	5.0
80.77	3.708E+04	5.0
81.96	3.703E+04	5.0
83.06	3.703E+04	5.0
84.16	3.700E+04	5.0
85.22	3.700E+04	5.0
86.28	3.703E+04	5.0
87.32	3.705E+04	5.0
88.37	3.708E+04	5.0
89.41	3.713E+04	5.0
90.46	3.720E+04	5.0
91.49	3.725E+04	5.0
92.53	3.735E+04	5.0
93.59	3.742E+04	5.0
94.62	3.752E+04	5.0
95.67	3.762E+04	5.0
96.71	3.775E+04	5.0
97.75	3.787E+04	5.0
98.82	3.800E+04	5.0
99.87	3.815E+04	5.0
100.94	3.828E+04	5.0
102.02	3.846E+04	5.0
103.08	3.861E+04	5.0
104.11	3.876E+04	5.0
105.18	3.895E+04	5.0
106.29	3.913E+04	5.0
107.44	3.931E+04	5.0
108.64	3.949E+04	5.0
109.72	3.970E+04	5.0
110.84	3.991E+04	5.0
111.87	4.013E+04	5.0
112.89	4.031E+04	5.0
113.93	4.050E+04	5.0
114.95	4.072E+04	5.0
115.98	4.091E+04	5.0
117.02	4.110E+04	5.0
118.06	4.132E+04	5.0
119.17	4.154E+04	5.0
120.26	4.173E+04	5.0
121.42	4.195E+04	5.0
122.47	4.217E+04	5.0
123.49	4.237E+04	5.0
124.53	4.260E+04	5.0
125.65	4.277E+04	5.0
126.75	4.302E+04	5.0
127.86	4.322E+04	5.0
128.88	4.342E+04	5.0
129.94	4.363E+04	5.0
130.98	4.383E+04	5.0
132.01	4.400E+04	5.0
133.11	4.421E+04	5.0
135.57	4.462E+04	5.0
136.72	4.483E+04	5.0
137.79	4.501E+04	5.0
138.83	4.519E+04	5.0
139.87	4.534E+04	5.0
140.89	4.552E+04	5.0
141.96	4.567E+04	5.0
143.00	4.582E+04	5.0
144.08	4.598E+04	5.0
145.18	4.613E+04	5.0
146.39	4.628E+04	5.0
147.45	4.645E+04	5.0
148.47	4.657E+04	5.0
149.51	4.670E+04	5.0
150.61	4.684E+04	5.0
151.74	4.698E+04	5.0
152.80	4.709E+04	5.0
153.83	4.720E+04	5.0
154.87	4.731E+04	5.0
155.98	4.742E+04	5.0
157.03	4.753E+04	5.0
158.15	4.762E+04	5.0
159.20	4.773E+04	5.0
160.22	4.781E+04	5.0
161.24	4.791E+04	5.0
162.32	4.799E+04	5.0
163.39	4.807E+04	5.0
164.46	4.815E+04	5.0
165.64	4.821E+04	5.0
166.75	4.829E+04	5.0
167.83	4.835E+04	5.0
168.93	4.842E+04	5.0
170.02	4.848E+04	5.0
171.06	4.853E+04	5.0
172.11	4.858E+04	5.0
173.15	4.863E+04	5.0
174.19	4.866E+04	5.0
175.24	4.871E+04	5.0
176.28	4.876E+04	5.0
177.32	4.877E+04	5.0
178.36	4.881E+04	5.0
179.40	4.884E+04	5.0
180.44	4.887E+04	5.0
181.48	4.889E+04	5.0
182.51	4.890E+04	5.0
