Time (s)	O2 conc. (ppm)
66.91	2.123E+05	21.0
67.22	2.122E+05	21.0
67.54	2.122E+05	21.0
67.85	2.122E+05	21.0
68.16	2.121E+05	21.0
68.50	2.120E+05	21.0
68.82	2.120E+05	21.0
69.16	2.118E+05	21.0
69.50	2.118E+05	21.0
69.83	2.117E+05	21.0
70.17	2.117E+05	21.0
70.51	2.116E+05	21.0
70.85	2.116E+05	21.0
71.19	2.115E+05	21.0
71.54	2.114E+05	21.0
71.88	2.114E+05	21.0
72.19	2.113E+05	21.0
72.53	2.112E+05	21.0
72.87	2.112E+05	21.0
73.21	2.111E+05	21.0
73.54	2.110E+05	21.0
73.86	2.110E+05	21.0
74.20	2.110E+05	21.0
74.54	2.109E+05	21.0
74.88	2.109E+05	21.0
75.22	2.108E+05	21.0
75.56	2.108E+05	21.0
75.90	2.107E+05	21.0
76.24	2.107E+05	21.0
76.61	2.106E+05	21.0
76.92	2.105E+05	21.0
77.26	2.105E+05	21.0
77.60	2.105E+05	21.0
77.91	2.104E+05	21.0
78.25	2.103E+05	21.0
78.59	2.103E+05	21.0
78.93	2.103E+05	21.0
79.27	2.102E+05	21.0
79.61	2.102E+05	21.0
79.95	2.102E+05	21.0
80.29	2.101E+05	21.0
80.63	2.101E+05	21.0
80.97	2.101E+05	21.0
81.31	2.100E+05	21.0
81.65	2.100E+05	21.0
81.99	2.100E+05	21.0
82.33	2.099E+05	21.0
82.70	2.099E+05	21.0
83.04	2.098E+05	21.0
83.37	2.099E+05	21.0
83.71	2.098E+05	21.0
84.05	2.097E+05	21.0
84.40	2.098E+05	21.0
84.74	2.097E+05	21.0
85.08	2.097E+05	21.0
85.42	2.097E+05	21.0
85.75	2.097E+05	21.0
86.09	2.097E+05	21.0
86.43	2.097E+05	21.0
86.74	2.096E+05	21.0
87.06	2.096E+05	21.0
87.40	2.096E+05	21.0
87.73	2.096E+05	21.0
88.07	2.096E+05	21.0
88.41	2.096E+05	21.0
88.75	2.096E+05	21.0
89.08	2.096E+05	21.0
89.42	2.096E+05	21.0
89.77	2.096E+05	21.0
90.10	2.096E+05	21.0
90.44	2.096E+05	21.0
90.78	2.096E+05	21.0
91.12	2.095E+05	21.0
91.49	2.095E+05	21.0
91.82	2.096E+05	21.0
92.17	2.095E+05	21.0
92.51	2.095E+05	21.0
92.84	2.095E+05	21.0
93.18	2.096E+05	21.0
93.53	2.095E+05	21.0
93.86	2.095E+05	21.0
94.20	2.096E+05	21.0
94.57	2.096E+05	21.0
94.91	2.095E+05	21.0
95.25	2.096E+05	21.0
95.59	2.096E+05	21.0
95.93	2.096E+05	21.0
96.27	2.096E+05	21.0
96.60	2.096E+05	21.0
96.94	2.096E+05	21.0
97.29	2.096E+05	21.0
97.62	2.096E+05	21.0
97.96	2.096E+05	21.0
98.33	2.096E+05	21.0
98.66	2.096E+05	21.0
99.00	2.096E+05	21.0
99.34	2.097E+05	21.0
99.68	2.097E+05	21.0
100.05	2.096E+05	21.0
100.39	2.096E+05	21.0
100.73	2.097E+05	21.0
101.09	2.097E+05	21.0
101.43	2.097E+05	21.0
101.79	2.097E+05	21.0
102.16	2.097E+05	21.0
102.50	2.097E+05	21.0
102.87	2.098E+05	21.0
103.23	2.098E+05	21.0
103.60	2.098E+05	21.0
103.96	2.098E+05	21.0
104.33	2.099E+05	21.0
104.70	2.099E+05	21.0
105.03	2.099E+05	21.0
105.38	2.099E+05	21.0
105.74	2.099E+05	21.0
106.11	2.099E+05	21.0
106.45	2.099E+05	21.0
106.81	2.100E+05	21.0
107.15	2.100E+05	21.0
107.52	2.100E+05	21.0
107.86	2.100E+05	21.0
108.23	2.100E+05	21.0
108.57	2.100E+05	21.0
108.91	2.101E+05	21.0
109.27	2.101E+05	21.0
109.64	2.101E+05	21.0
110.00	2.101E+05	21.0
110.35	2.101E+05	21.0
110.71	2.101E+05	21.0
111.08	2.102E+05	21.0
