Time (s)	O2 conc. (ppm)
67.30	2.159E+05	21.0
67.62	2.159E+05	21.0
67.96	2.157E+05	21.0
68.27	2.157E+05	21.0
68.58	2.156E+05	21.0
68.89	2.155E+05	21.0
69.21	2.154E+05	21.0
69.54	2.153E+05	21.0
69.88	2.152E+05	21.0
70.20	2.152E+05	21.0
70.54	2.151E+05	21.0
70.88	2.150E+05	21.0
71.22	2.149E+05	21.0
71.53	2.148E+05	21.0
71.87	2.147E+05	21.0
72.24	2.146E+05	21.0
72.56	2.145E+05	21.0
72.90	2.144E+05	21.0
73.24	2.143E+05	21.0
73.55	2.142E+05	21.0
73.86	2.141E+05	21.0
74.20	2.141E+05	21.0
74.54	2.140E+05	21.0
74.88	2.139E+05	21.0
75.23	2.138E+05	21.0
75.57	2.137E+05	21.0
75.88	2.136E+05	21.0
76.22	2.135E+05	21.0
76.56	2.135E+05	21.0
76.93	2.133E+05	21.0
77.26	2.132E+05	21.0
77.60	2.131E+05	21.0
77.93	2.131E+05	21.0
78.26	2.130E+05	21.0
78.60	2.129E+05	21.0
78.94	2.128E+05	21.0
79.31	2.127E+05	21.0
79.65	2.127E+05	21.0
79.99	2.125E+05	21.0
80.33	2.125E+05	21.0
80.67	2.123E+05	21.0
81.01	2.123E+05	21.0
81.35	2.122E+05	21.0
81.69	2.121E+05	21.0
82.03	2.121E+05	21.0
82.34	2.120E+05	21.0
82.68	2.119E+05	21.0
82.99	2.118E+05	21.0
83.34	2.117E+05	21.0
83.65	2.117E+05	21.0
83.99	2.116E+05	21.0
84.35	2.115E+05	21.0
84.69	2.115E+05	21.0
85.03	2.114E+05	21.0
85.37	2.113E+05	21.0
85.69	2.112E+05	21.0
86.00	2.112E+05	21.0
86.34	2.111E+05	21.0
86.68	2.110E+05	21.0
87.00	2.110E+05	21.0
87.33	2.109E+05	21.0
87.65	2.109E+05	21.0
87.99	2.109E+05	21.0
88.31	2.108E+05	21.0
88.65	2.107E+05	21.0
88.99	2.107E+05	21.0
89.33	2.106E+05	21.0
89.66	2.106E+05	21.0
90.01	2.105E+05	21.0
90.34	2.104E+05	21.0
90.68	2.104E+05	21.0
91.03	2.104E+05	21.0
91.34	2.103E+05	21.0
91.68	2.102E+05	21.0
92.02	2.102E+05	21.0
92.36	2.102E+05	21.0
92.67	2.102E+05	21.0
93.01	2.101E+05	21.0
93.35	2.101E+05	21.0
93.69	2.100E+05	21.0
94.01	2.100E+05	21.0
94.34	2.100E+05	21.0
94.68	2.100E+05	21.0
95.02	2.099E+05	21.0
95.36	2.099E+05	21.0
95.69	2.099E+05	21.0
96.02	2.099E+05	21.0
96.36	2.098E+05	21.0
96.67	2.098E+05	21.0
97.01	2.098E+05	21.0
97.34	2.097E+05	21.0
97.66	2.097E+05	21.0
98.00	2.097E+05	21.0
98.33	2.097E+05	21.0
98.68	2.097E+05	21.0
99.02	2.096E+05	21.0
99.36	2.096E+05	21.0
99.70	2.096E+05	21.0
100.04	2.096E+05	21.0
100.40	2.095E+05	21.0
100.71	2.095E+05	21.0
101.06	2.096E+05	21.0
101.40	2.095E+05	21.0
101.74	2.095E+05	21.0
102.08	2.095E+05	21.0
102.39	2.095E+05	21.0
102.73	2.095E+05	21.0
103.07	2.095E+05	21.0
103.38	2.094E+05	21.0
103.72	2.095E+05	21.0
104.10	2.095E+05	21.0
104.44	2.095E+05	21.0
104.77	2.095E+05	21.0
105.11	2.095E+05	21.0
105.45	2.095E+05	21.0
105.79	2.095E+05	21.0
106.10	2.095E+05	21.0
106.47	2.095E+05	21.0
106.81	2.095E+05	21.0
107.15	2.095E+05	21.0
107.49	2.095E+05	21.0
107.82	2.095E+05	21.0
108.16	2.095E+05	21.0
108.50	2.095E+05	21.0
108.84	2.095E+05	21.0
109.19	2.096E+05	21.0
109.53	2.096E+05	21.0
109.87	2.095E+05	21.0
110.24	2.096E+05	21.0
110.57	2.096E+05	21.0
110.91	2.096E+05	21.0
111.28	2.096E+05	21.0
111.61	2.096E+05	21.0
111.96	2.096E+05	21.0
112.30	2.097E+05	21.0
112.66	2.096E+05	21.0
113.00	2.097E+05	21.0
113.34	2.097E+05	21.0
113.68	2.097E+05	21.0
114.02	2.097E+05	21.0
114.39	2.097E+05	21.0
114.73	2.097E+05	21.0
115.07	2.097E+05	21.0
115.40	2.097E+05	21.0
115.77	2.097E+05	21.0
116.11	2.098E+05	21.0
116.45	2.098E+05	21.0
116.78	2.098E+05	21.0
117.13	2.098E+05	21.0
117.49	2.099E+05	21.0
117.86	2.099E+05	21.0
118.23	2.099E+05	21.0
118.59	2.099E+05	21.0
118.93	2.099E+05	21.0
119.30	2.100E+05	21.0
119.67	2.100E+05	21.0
120.04	2.100E+05	21.0
120.40	2.100E+05	21.0
120.76	2.100E+05	21.0
121.11	2.100E+05	21.0
121.45	2.101E+05	21.0
121.78	2.101E+05	21.0
122.13	2.101E+05	21.0
122.50	2.101E+05	21.0
122.86	2.101E+05	21.0
123.20	2.101E+05	21.0
123.54	2.102E+05	21.0
123.88	2.102E+05	21.0
124.22	2.102E+05	21.0
124.56	2.102E+05	21.0
124.93	2.102E+05	21.0
125.26	2.102E+05	21.0
125.60	2.103E+05	21.0
125.97	2.103E+05	21.0
126.34	2.103E+05	21.0
126.67	2.103E+05	21.0
127.04	2.103E+05	21.0
127.41	2.103E+05	21.0
127.75	2.103E+05	21.0
128.11	2.103E+05	21.0
128.48	2.104E+05	21.0
128.82	2.104E+05	21.0
129.21	2.104E+05	21.0
