Time (s)	O2 conc. (ppm)
68.54	2.078E+05	20.79
68.91	2.078E+05	20.78
69.25	2.077E+05	20.78
69.56	2.077E+05	20.77
69.90	2.077E+05	20.77
70.22	2.076E+05	20.77
70.53	2.075E+05	20.76
70.84	2.075E+05	20.75
71.17	2.075E+05	20.75
71.49	2.074E+05	20.75
71.83	2.074E+05	20.74
72.14	2.073E+05	20.74
72.49	2.072E+05	20.73
72.80	2.072E+05	20.72
73.13	2.071E+05	20.72
73.48	2.070E+05	20.71
73.79	2.070E+05	20.7
74.10	2.070E+05	20.7
74.42	2.069E+05	20.7
74.76	2.068E+05	20.69
75.07	2.068E+05	20.68
75.41	2.068E+05	20.68
75.75	2.067E+05	20.68
76.06	2.066E+05	20.67
76.37	2.066E+05	20.66
76.68	2.065E+05	20.66
77.03	2.065E+05	20.65
77.34	2.064E+05	20.65
77.68	2.064E+05	20.64
78.01	2.063E+05	20.64
78.33	2.062E+05	20.63
78.67	2.062E+05	20.62
79.00	2.062E+05	20.62
79.34	2.061E+05	20.62
79.66	2.061E+05	20.61
80.00	2.060E+05	20.61
80.37	2.060E+05	20.6
80.70	2.059E+05	20.6
81.01	2.058E+05	20.59
81.35	2.058E+05	20.58
81.69	2.057E+05	20.58
82.06	2.057E+05	20.57
82.41	2.057E+05	20.57
82.74	2.056E+05	20.57
83.08	2.055E+05	20.56
83.45	2.055E+05	20.55
83.79	2.054E+05	20.55
84.10	2.054E+05	20.54
84.41	2.053E+05	20.54
84.76	2.053E+05	20.53
85.07	2.053E+05	20.53
85.43	2.052E+05	20.53
85.77	2.052E+05	20.52
86.08	2.052E+05	20.52
86.40	2.051E+05	20.52
86.71	2.051E+05	20.51
87.04	2.050E+05	20.51
87.36	2.050E+05	20.5
87.70	2.050E+05	20.5
88.04	2.049E+05	20.5
88.35	2.049E+05	20.49
88.69	2.048E+05	20.49
89.03	2.048E+05	20.48
89.37	2.048E+05	20.48
89.70	2.048E+05	20.48
90.02	2.047E+05	20.48
90.36	2.047E+05	20.47
90.73	2.047E+05	20.47
91.06	2.047E+05	20.47
91.40	2.046E+05	20.47
91.71	2.046E+05	20.46
92.05	2.046E+05	20.46
92.37	2.045E+05	20.46
92.71	2.045E+05	20.45
93.07	2.045E+05	20.45
93.41	2.045E+05	20.45
93.75	2.044E+05	20.45
94.09	2.044E+05	20.44
94.40	2.044E+05	20.44
94.74	2.044E+05	20.44
95.09	2.044E+05	20.44
95.43	2.044E+05	20.44
95.77	2.043E+05	20.44
96.11	2.043E+05	20.43
96.45	2.043E+05	20.43
96.78	2.043E+05	20.43
97.14	2.043E+05	20.43
97.48	2.042E+05	20.43
97.80	2.042E+05	20.42
98.16	2.042E+05	20.42
98.53	2.042E+05	20.42
98.87	2.042E+05	20.42
99.21	2.042E+05	20.42
99.55	2.042E+05	20.42
99.91	2.042E+05	20.42
100.25	2.042E+05	20.42
100.59	2.042E+05	20.42
100.93	2.042E+05	20.42
101.27	2.042E+05	20.42
101.60	2.042E+05	20.42
101.97	2.042E+05	20.42
102.31	2.041E+05	20.42
102.64	2.042E+05	20.41
102.99	2.042E+05	20.42
103.33	2.041E+05	20.42
103.67	2.041E+05	20.41
104.01	2.042E+05	20.41
104.35	2.042E+05	20.42
104.69	2.042E+05	20.42
105.02	2.041E+05	20.42
105.36	2.042E+05	20.41
105.74	2.042E+05	20.42
106.07	2.042E+05	20.42
106.44	2.042E+05	20.42
106.80	2.042E+05	20.42
107.14	2.042E+05	20.42
107.48	2.042E+05	20.42
107.81	2.042E+05	20.42
108.16	2.042E+05	20.42
108.50	2.042E+05	20.42
108.84	2.042E+05	20.42
109.18	2.042E+05	20.42
109.54	2.042E+05	20.42
109.88	2.043E+05	20.42
110.27	2.043E+05	20.43
110.61	2.043E+05	20.43
110.95	2.043E+05	20.43
111.29	2.043E+05	20.43
111.63	2.043E+05	20.43
111.96	2.043E+05	20.43
112.33	2.043E+05	20.43
112.67	2.043E+05	20.43
113.01	2.044E+05	20.43
113.35	2.044E+05	20.44
113.72	2.044E+05	20.44
114.08	2.044E+05	20.44
114.42	2.044E+05	20.44
114.79	2.044E+05	20.44
115.12	2.044E+05	20.44
115.46	2.044E+05	20.44
115.80	2.045E+05	20.44
116.15	2.045E+05	20.45
116.48	2.045E+05	20.45
116.82	2.045E+05	20.45
117.19	2.045E+05	20.45
117.53	2.045E+05	20.45
117.89	2.045E+05	20.45
118.26	2.046E+05	20.45
118.60	2.046E+05	20.46
118.96	2.046E+05	20.46
119.33	2.046E+05	20.46
119.66	2.046E+05	20.46
120.03	2.046E+05	20.46
120.37	2.046E+05	20.46
120.70	2.047E+05	20.46
121.08	2.047E+05	20.47
121.44	2.047E+05	20.47
121.81	2.047E+05	20.47
122.20	2.047E+05	20.47
122.56	2.047E+05	20.47
122.93	2.048E+05	20.47
123.30	2.048E+05	20.48
123.67	2.048E+05	20.48
124.03	2.048E+05	20.48
124.40	2.048E+05	20.48
124.79	2.048E+05	20.48
125.15	2.048E+05	20.48
125.52	2.048E+05	20.48
125.88	2.049E+05	20.48
126.25	2.049E+05	20.49
126.62	2.049E+05	20.49
127.01	2.049E+05	20.49
127.37	2.049E+05	20.49
127.74	2.049E+05	20.49
128.13	2.049E+05	20.49
128.50	2.049E+05	20.49
128.87	2.050E+05	20.49
129.23	2.050E+05	20.5
129.60	2.049E+05	20.5
129.96	2.050E+05	20.49
130.33	2.050E+05	20.5
130.69	2.050E+05	20.5
131.05	2.050E+05	20.5
131.42	2.050E+05	20.5
131.79	2.050E+05	20.5
132.15	2.051E+05	20.5
132.52	2.051E+05	20.51
132.88	2.051E+05	20.51
133.25	2.051E+05	20.51
133.61	2.051E+05	20.51
133.98	2.051E+05	20.51
134.33	2.051E+05	20.51
134.72	2.051E+05	20.51
135.11	2.051E+05	20.51
135.47	2.051E+05	20.51
135.84	2.051E+05	20.51
136.20	2.051E+05	20.51
136.57	2.051E+05	20.51
136.91	2.052E+05	20.51
137.28	2.052E+05	20.52
137.64	2.052E+05	20.52
138.01	2.052E+05	20.52
138.37	2.052E+05	20.52
138.74	2.052E+05	20.52
139.10	2.052E+05	20.52
139.47	2.052E+05	20.52
139.83	2.052E+05	20.52
140.20	2.052E+05	20.52
140.56	2.052E+05	20.52
140.95	2.052E+05	20.52
141.32	2.052E+05	20.52
141.71	2.052E+05	20.52
142.08	2.052E+05	20.52
142.45	2.052E+05	20.52
142.81	2.052E+05	20.52
143.18	2.052E+05	20.52
143.54	2.052E+05	20.52
143.91	2.052E+05	20.52
144.28	2.052E+05	20.52
144.65	2.052E+05	20.52
145.01	2.052E+05	20.52
145.38	2.052E+05	20.52
145.74	2.052E+05	20.52
146.13	2.052E+05	20.52
183.36	2.051E+05	20.52
183.75	2.050E+05	20.51
184.14	2.050E+05	20.5
184.54	2.050E+05	20.5
184.93	2.050E+05	20.5
185.33	2.050E+05	20.5
185.72	2.050E+05	20.5
186.11	2.051E+05	20.5
186.50	2.050E+05	20.51
186.89	2.050E+05	20.5
192.49	2.050E+05	20.5
192.86	2.050E+05	20.5
193.25	2.051E+05	20.5
193.64	2.050E+05	20.51
