Time (s)	O2 conc. (ppm)
0.10	1.921E+05	21.0
0.66	1.920E+05	21.0
1.99	1.920E+05	21.0
2.29	1.920E+05	21.0
2.58	1.920E+05	21.0
2.86	1.920E+05	21.0
3.15	1.920E+05	21.0
3.43	1.920E+05	21.0
3.72	1.920E+05	21.0
4.00	1.920E+05	21.0
4.28	1.920E+05	21.0
4.58	1.920E+05	21.0
4.86	1.920E+05	21.0
5.15	1.920E+05	21.0
5.43	1.920E+05	21.0
5.71	1.920E+05	21.0
6.00	1.920E+05	21.0
6.28	1.920E+05	21.0
6.57	1.920E+05	21.0
6.85	1.920E+05	21.0
7.14	1.920E+05	21.0
7.43	1.920E+05	21.0
7.74	1.920E+05	21.0
8.05	1.920E+05	21.0
8.34	1.920E+05	21.0
8.62	1.920E+05	21.0
8.91	1.920E+05	21.0
9.19	1.920E+05	21.0
9.48	1.920E+05	21.0
9.77	1.920E+05	21.0
10.05	1.920E+05	21.0
10.34	1.920E+05	21.0
10.62	1.920E+05	21.0
10.91	1.920E+05	21.0
11.19	1.920E+05	21.0
11.48	1.920E+05	21.0
11.79	1.920E+05	21.0
12.08	1.920E+05	21.0
12.37	1.920E+05	21.0
12.65	1.920E+05	21.0
12.94	1.920E+05	21.0
13.22	1.920E+05	21.0
13.51	1.920E+05	21.0
13.79	1.920E+05	21.0
14.08	1.920E+05	21.0
14.36	1.921E+05	21.0
14.65	1.921E+05	21.0
14.96	1.921E+05	21.0
15.25	1.921E+05	21.0
15.53	1.922E+05	21.0
15.82	1.922E+05	21.0
16.13	1.923E+05	21.0
16.42	1.924E+05	21.0
16.70	1.925E+05	21.0
17.01	1.926E+05	21.0
17.30	1.927E+05	21.0
17.62	1.929E+05	21.0
17.91	1.930E+05	21.0
18.22	1.931E+05	21.0
18.53	1.933E+05	21.0
18.82	1.935E+05	21.0
19.13	1.937E+05	21.0
19.45	1.939E+05	21.0
19.76	1.941E+05	21.0
20.07	1.943E+05	21.0
20.37	1.946E+05	21.0
20.68	1.948E+05	21.0
20.99	1.951E+05	21.0
21.31	1.953E+05	21.0
21.59	1.956E+05	21.0
21.88	1.959E+05	21.0
22.19	1.961E+05	21.0
22.48	1.964E+05	21.0
22.79	1.967E+05	21.0
23.09	1.970E+05	21.0
23.40	1.972E+05	21.0
23.68	1.975E+05	21.0
23.97	1.978E+05	21.0
24.28	1.981E+05	21.0
24.59	1.983E+05	21.0
