Time (s)	O2 conc. (ppm)
0.11	1.910E+05	21.0
0.66	1.910E+05	19.1
1.96	1.910E+05	19.1
2.27	1.910E+05	19.1
2.55	1.910E+05	19.1
2.84	1.910E+05	19.1
3.12	1.910E+05	19.1
3.41	1.910E+05	19.1
3.69	1.910E+05	19.1
3.97	1.909E+05	19.1
4.26	1.909E+05	19.09
4.54	1.909E+05	19.09
4.83	1.909E+05	19.09
5.15	1.909E+05	19.09
5.43	1.909E+05	19.09
5.71	1.909E+05	19.09
6.00	1.909E+05	19.09
6.28	1.909E+05	19.09
6.57	1.909E+05	19.09
6.88	1.909E+05	19.09
7.16	1.909E+05	19.09
7.45	1.909E+05	19.09
7.74	1.909E+05	19.09
8.04	1.909E+05	19.09
8.33	1.909E+05	19.09
8.61	1.909E+05	19.09
8.90	1.909E+05	19.09
9.18	1.909E+05	19.09
9.47	1.909E+05	19.09
9.75	1.909E+05	19.09
10.03	1.909E+05	19.09
10.33	1.909E+05	19.09
10.61	1.909E+05	19.09
10.92	1.909E+05	19.09
11.20	1.909E+05	19.09
11.52	1.909E+05	19.09
11.80	1.909E+05	19.09
12.11	1.909E+05	19.09
12.39	1.909E+05	19.09
12.68	1.908E+05	19.09
12.97	1.909E+05	19.08
13.31	1.908E+05	19.09
13.60	1.908E+05	19.08
13.91	1.909E+05	19.08
14.22	1.908E+05	19.09
14.51	1.909E+05	19.08
14.79	1.909E+05	19.09
15.13	1.909E+05	19.09
15.42	1.909E+05	19.09
15.70	1.909E+05	19.09
16.01	1.909E+05	19.09
16.32	1.910E+05	19.09
16.63	1.910E+05	19.1
16.94	1.911E+05	19.1
17.26	1.911E+05	19.11
17.57	1.911E+05	19.11
17.92	1.912E+05	19.11
18.20	1.913E+05	19.12
18.48	1.914E+05	19.13
18.77	1.914E+05	19.14
19.06	1.915E+05	19.14
19.37	1.916E+05	19.15
19.68	1.917E+05	19.16
19.99	1.918E+05	19.17
20.33	1.919E+05	19.18
20.65	1.921E+05	19.19
20.93	1.922E+05	19.21
21.24	1.923E+05	19.22
21.56	1.925E+05	19.23
21.84	1.926E+05	19.25
22.13	1.928E+05	19.26
22.42	1.929E+05	19.28
22.70	1.930E+05	19.29
23.02	1.933E+05	19.3
23.34	1.934E+05	19.33
23.65	1.936E+05	19.34
