Time (s)	O2 conc. (ppm)
92.42	2.155E+05
92.76	2.154E+05
93.11	2.154E+05
93.48	2.153E+05
93.82	2.152E+05
94.15	2.151E+05
94.49	2.150E+05
94.83	2.150E+05
95.17	2.149E+05
95.54	2.148E+05
95.88	2.147E+05
96.22	2.146E+05
96.58	2.146E+05
96.93	2.145E+05
97.26	2.144E+05
97.60	2.143E+05
97.95	2.142E+05
98.29	2.141E+05
98.63	2.141E+05
98.97	2.140E+05
99.31	2.139E+05
99.65	2.139E+05
99.99	2.138E+05
100.35	2.137E+05
100.69	2.136E+05
101.01	2.135E+05
101.35	2.135E+05
101.72	2.134E+05
102.05	2.133E+05
102.39	2.133E+05
102.73	2.132E+05
103.07	2.131E+05
103.41	2.131E+05
103.75	2.130E+05
104.09	2.129E+05
104.43	2.128E+05
104.77	2.128E+05
105.11	2.127E+05
105.45	2.127E+05
105.82	2.126E+05
106.16	2.125E+05
106.50	2.124E+05
106.87	2.124E+05
107.21	2.123E+05
107.57	2.122E+05
107.94	2.122E+05
108.28	2.122E+05
108.64	2.121E+05
108.99	2.120E+05
109.33	2.119E+05
109.69	2.118E+05
110.06	2.118E+05
110.40	2.117E+05
110.74	2.117E+05
111.11	2.116E+05
111.48	2.116E+05
111.82	2.115E+05
112.18	2.115E+05
112.52	2.114E+05
112.86	2.114E+05
113.23	2.113E+05
113.57	2.112E+05
113.91	2.112E+05
114.28	2.111E+05
114.67	2.111E+05
115.01	2.110E+05
115.35	2.110E+05
115.69	2.110E+05
117.32	2.108E+05
117.66	2.107E+05
118.00	2.107E+05
118.37	2.107E+05
118.71	2.106E+05
119.05	2.105E+05
119.42	2.105E+05
119.78	2.105E+05
120.15	2.104E+05
120.51	2.104E+05
120.88	2.104E+05
121.22	2.103E+05
121.58	2.103E+05
121.96	2.103E+05
122.29	2.102E+05
122.69	2.102E+05
123.05	2.102E+05
123.77	2.101E+05
124.10	2.101E+05
124.45	2.100E+05
124.84	2.100E+05
125.21	2.100E+05
125.54	2.100E+05
125.91	2.100E+05
126.25	2.099E+05
126.61	2.099E+05
127.02	2.099E+05
127.38	2.098E+05
127.75	2.099E+05
128.14	2.098E+05
128.51	2.098E+05
128.87	2.098E+05
129.21	2.097E+05
129.58	2.097E+05
129.95	2.097E+05
130.31	2.097E+05
130.67	2.097E+05
131.01	2.096E+05
131.38	2.096E+05
131.74	2.096E+05
132.09	2.096E+05
132.45	2.096E+05
132.82	2.096E+05
133.16	2.096E+05
133.52	2.095E+05
133.89	2.095E+05
134.26	2.095E+05
134.62	2.095E+05
134.99	2.095E+05
135.36	2.095E+05
135.72	2.095E+05
136.09	2.095E+05
136.45	2.095E+05
136.82	2.095E+05
137.19	2.094E+05
137.56	2.095E+05
137.93	2.094E+05
138.29	2.094E+05
138.66	2.094E+05
139.02	2.094E+05
139.38	2.094E+05
139.76	2.094E+05
140.12	2.094E+05
140.48	2.094E+05
140.85	2.094E+05
141.21	2.094E+05
141.58	2.094E+05
141.94	2.094E+05
142.31	2.094E+05
142.68	2.094E+05
143.07	2.094E+05
143.46	2.094E+05
144.25	2.094E+05
144.62	2.094E+05
144.99	2.094E+05
145.36	2.094E+05
145.72	2.094E+05
146.11	2.094E+05
146.48	2.094E+05
146.84	2.094E+05
147.24	2.094E+05
147.96	2.095E+05
148.32	2.095E+05
148.69	2.095E+05
149.05	2.095E+05
149.42	2.095E+05
149.81	2.095E+05
150.18	2.095E+05
150.54	2.095E+05
150.91	2.095E+05
151.27	2.095E+05
151.64	2.095E+05
152.00	2.095E+05
152.40	2.095E+05
152.79	2.095E+05
153.16	2.095E+05
153.55	2.096E+05
