Time (s)	O2 conc. (ppm)
0.10	1.892E+05	21.0
0.60	1.892E+05	21.0
1.96	1.892E+05	21.0
2.26	1.892E+05	21.0
2.55	1.892E+05	21.0
2.83	1.892E+05	21.0
3.12	1.892E+05	21.0
3.40	1.892E+05	21.0
3.69	1.892E+05	21.0
3.97	1.892E+05	21.0
4.25	1.891E+05	21.0
4.54	1.892E+05	21.0
4.82	1.892E+05	21.0
5.11	1.892E+05	21.0
5.40	1.892E+05	21.0
5.68	1.891E+05	21.0
5.97	1.892E+05	21.0
6.25	1.892E+05	21.0
6.53	1.892E+05	21.0
6.82	1.892E+05	21.0
7.10	1.892E+05	21.0
7.39	1.892E+05	21.0
7.68	1.892E+05	21.0
7.96	1.892E+05	21.0
8.27	1.892E+05	21.0
8.56	1.891E+05	21.0
8.85	1.892E+05	21.0
9.13	1.891E+05	21.0
9.44	1.891E+05	21.0
9.73	1.891E+05	21.0
10.04	1.891E+05	21.0
10.33	1.892E+05	21.0
10.62	1.891E+05	21.0
10.90	1.891E+05	21.0
11.18	1.891E+05	21.0
11.47	1.891E+05	21.0
11.75	1.891E+05	21.0
12.04	1.891E+05	21.0
12.32	1.891E+05	21.0
12.63	1.891E+05	21.0
12.92	1.891E+05	21.0
13.21	1.891E+05	21.0
13.49	1.891E+05	21.0
13.78	1.892E+05	21.0
14.06	1.891E+05	21.0
14.35	1.891E+05	21.0
14.66	1.892E+05	21.0
14.95	1.891E+05	21.0
15.23	1.892E+05	21.0
15.52	1.892E+05	21.0
15.80	1.892E+05	21.0
16.12	1.892E+05	21.0
16.40	1.893E+05	21.0
16.69	1.893E+05	21.0
17.00	1.894E+05	21.0
17.28	1.894E+05	21.0
17.57	1.895E+05	21.0
17.85	1.896E+05	21.0
18.15	1.896E+05	21.0
18.49	1.896E+05	21.0
18.77	1.897E+05	21.0
19.06	1.898E+05	21.0
19.40	1.899E+05	21.0
19.71	1.901E+05	21.0
20.02	1.902E+05	21.0
20.31	1.903E+05	21.0
20.59	1.904E+05	21.0
20.91	1.905E+05	21.0
21.20	1.907E+05	21.0
21.48	1.908E+05	21.0
21.77	1.909E+05	21.0
22.08	1.912E+05	21.0
22.37	1.913E+05	21.0
22.65	1.914E+05	21.0
22.94	1.916E+05	21.0
23.25	1.918E+05	21.0
23.54	1.920E+05	21.0
23.83	1.922E+05	21.0
24.11	1.924E+05	21.0
24.43	1.926E+05	21.0
24.74	1.928E+05	21.0
25.02	1.930E+05	21.0
25.31	1.932E+05	21.0
25.60	1.934E+05	21.0
25.88	1.937E+05	21.0
26.17	1.939E+05	21.0
26.49	1.941E+05	21.0
26.80	1.944E+05	21.0
27.11	1.946E+05	21.0
27.40	1.948E+05	21.0
27.71	1.951E+05	21.0
28.03	1.954E+05	21.0
28.31	1.956E+05	21.0
28.60	1.959E+05	21.0
28.89	1.961E+05	21.0
29.17	1.963E+05	21.0
29.46	1.966E+05	21.0
29.77	1.969E+05	21.0
30.06	1.971E+05	21.0
30.37	1.974E+05	21.0
30.68	1.977E+05	21.0
30.97	1.979E+05	21.0
31.26	1.982E+05	21.0
31.58	1.985E+05	21.0
31.86	1.988E+05	21.0
32.18	1.991E+05	21.0
32.49	1.994E+05	21.0
32.80	1.996E+05	21.0
33.11	1.999E+05	21.0
33.39	2.002E+05	21.0
33.71	2.005E+05	21.0
34.03	2.008E+05	21.0
34.34	2.011E+05	21.0
34.63	2.013E+05	21.0
34.94	2.017E+05	21.0
35.25	2.020E+05	21.0
35.57	2.022E+05	21.0
35.88	2.025E+05	21.0
36.19	2.028E+05	21.0
36.48	2.031E+05	21.0
36.79	2.034E+05	21.0
37.10	2.037E+05	21.0
37.39	2.040E+05	21.0
37.71	2.042E+05	21.0
38.02	2.045E+05	21.0
38.33	2.048E+05	21.0
38.64	2.051E+05	21.0
38.96	2.054E+05	21.0
39.28	2.057E+05	21.0
39.59	2.060E+05	21.0
39.90	2.063E+05	21.0
40.21	2.065E+05	21.0
40.52	2.068E+05	21.0
40.84	2.071E+05	21.0
41.18	2.074E+05	21.0
41.49	2.077E+05	21.0
41.81	2.080E+05	21.0
42.12	2.083E+05	21.0
42.46	2.085E+05	21.0
42.77	2.088E+05	21.0
43.08	2.091E+05	21.0
43.40	2.094E+05	21.0
43.71	2.096E+05	21.0
44.02	2.099E+05	21.0
44.32	2.101E+05	21.0
44.60	2.104E+05	21.0
44.92	2.106E+05	21.0
45.23	2.109E+05	21.0
45.54	2.111E+05	21.0
45.85	2.114E+05	21.0
46.19	2.117E+05	21.0
46.51	2.119E+05	21.0
46.83	2.122E+05	21.0
47.14	2.124E+05	21.0
