Time (s)	O2 conc. (ppm)
0.11	1.922E+05	21.0
0.66	1.922E+05	21.0
2.94	1.922E+05	21.0
3.22	1.922E+05	21.0
3.50	1.922E+05	21.0
3.79	1.922E+05	21.0
4.07	1.922E+05	21.0
4.36	1.922E+05	21.0
4.64	1.922E+05	21.0
4.93	1.922E+05	21.0
5.21	1.922E+05	21.0
5.50	1.922E+05	21.0
5.78	1.922E+05	21.0
6.07	1.921E+05	21.0
6.35	1.921E+05	21.0
6.64	1.922E+05	21.0
6.90	1.922E+05	21.0
7.19	1.922E+05	21.0
7.47	1.922E+05	21.0
7.76	1.921E+05	21.0
8.04	1.922E+05	21.0
8.33	1.922E+05	21.0
8.61	1.922E+05	21.0
8.93	1.922E+05	21.0
9.21	1.921E+05	21.0
9.48	1.922E+05	21.0
9.77	1.922E+05	21.0
10.08	1.921E+05	21.0
10.36	1.921E+05	21.0
10.65	1.921E+05	21.0
10.93	1.922E+05	21.0
11.25	1.922E+05	21.0
11.53	1.921E+05	21.0
11.82	1.921E+05	21.0
12.11	1.922E+05	21.0
12.43	1.922E+05	21.0
12.71	1.922E+05	21.0
13.00	1.922E+05	21.0
13.31	1.922E+05	21.0
13.62	1.922E+05	21.0
13.91	1.922E+05	21.0
14.19	1.922E+05	21.0
14.48	1.922E+05	21.0
14.77	1.922E+05	21.0
15.05	1.923E+05	21.0
15.34	1.923E+05	21.0
15.62	1.924E+05	21.0
15.91	1.924E+05	21.0
16.22	1.924E+05	21.0
16.51	1.925E+05	21.0
16.79	1.926E+05	21.0
17.10	1.927E+05	21.0
17.40	1.929E+05	21.0
17.68	1.929E+05	21.0
17.97	1.931E+05	21.0
18.31	1.933E+05	21.0
18.60	1.935E+05	21.0
18.88	1.937E+05	21.0
19.20	1.939E+05	21.0
19.54	1.941E+05	21.0
19.85	1.944E+05	21.0
20.17	1.947E+05	21.0
20.48	1.950E+05	21.0
20.77	1.952E+05	21.0
21.05	1.955E+05	21.0
21.37	1.958E+05	21.0
21.65	1.961E+05	21.0
21.94	1.965E+05	21.0
22.22	1.968E+05	21.0
22.52	1.971E+05	21.0
22.81	1.974E+05	21.0
23.15	1.978E+05	21.0
23.43	1.982E+05	21.0
23.72	1.985E+05	21.0
24.00	1.989E+05	21.0
24.31	1.993E+05	21.0
24.63	1.996E+05	21.0
24.91	2.000E+05	21.0
25.20	2.003E+05	21.0
25.52	2.007E+05	21.0
25.80	2.011E+05	21.0
26.12	2.015E+05	21.0
26.40	2.018E+05	21.0
26.72	2.022E+05	21.0
27.03	2.026E+05	21.0
27.31	2.029E+05	21.0
27.60	2.032E+05	21.0
27.92	2.036E+05	21.0
28.20	2.039E+05	21.0
28.51	2.043E+05	21.0
28.83	2.047E+05	21.0
29.14	2.050E+05	21.0
29.46	2.054E+05	21.0
29.74	2.057E+05	21.0
30.03	2.060E+05	21.0
30.34	2.064E+05	21.0
30.66	2.067E+05	21.0
30.97	2.070E+05	21.0
31.29	2.074E+05	21.0
31.60	2.077E+05	21.0
31.91	2.080E+05	21.0
32.22	2.083E+05	21.0
32.54	2.086E+05	21.0
32.88	2.089E+05	21.0
33.20	2.092E+05	21.0
33.48	2.095E+05	21.0
33.79	2.097E+05	21.0
34.11	2.101E+05	21.0
34.42	2.103E+05	21.0
34.73	2.105E+05	21.0
35.05	2.108E+05	21.0
35.36	2.111E+05	21.0
35.68	2.113E+05	21.0
35.99	2.116E+05	21.0
36.31	2.118E+05	21.0
36.62	2.121E+05	21.0
36.93	2.122E+05	21.0
37.24	2.125E+05	21.0
37.56	2.127E+05	21.0
37.87	2.129E+05	21.0
38.19	2.131E+05	21.0
38.50	2.133E+05	21.0
38.82	2.134E+05	21.0
39.13	2.136E+05	21.0
39.44	2.138E+05	21.0
39.76	2.139E+05	21.0
40.07	2.141E+05	21.0
40.38	2.142E+05	21.0
40.69	2.143E+05	21.0
41.01	2.144E+05	21.0
41.33	2.145E+05	21.0
41.64	2.146E+05	21.0
41.96	2.147E+05	21.0
42.27	2.148E+05	21.0
42.58	2.149E+05	21.0
42.89	2.150E+05	21.0
43.21	2.150E+05	21.0
43.53	2.151E+05	21.0
43.84	2.151E+05	21.0
44.15	2.151E+05	21.0
44.46	2.152E+05	21.0
44.77	2.152E+05	21.0
45.08	2.152E+05	21.0
