Time (s)	O2 conc. (ppm)
68.10	2.138E+05	21.0
68.44	2.138E+05	21.0
68.75	2.138E+05	21.0
69.06	2.138E+05	21.0
69.37	2.138E+05	21.0
69.71	2.138E+05	21.0
70.02	2.138E+05	21.0
70.34	2.138E+05	21.0
70.68	2.138E+05	21.0
71.05	2.138E+05	21.0
71.36	2.138E+05	21.0
71.67	2.137E+05	21.0
72.01	2.138E+05	21.0
72.34	2.137E+05	21.0
72.65	2.137E+05	21.0
72.99	2.137E+05	21.0
73.31	2.136E+05	21.0
73.65	2.136E+05	21.0
73.96	2.136E+05	21.0
74.27	2.136E+05	21.0
74.58	2.136E+05	21.0
74.93	2.135E+05	21.0
75.26	2.135E+05	21.0
75.57	2.135E+05	21.0
75.89	2.135E+05	21.0
76.20	2.134E+05	21.0
76.54	2.134E+05	21.0
76.85	2.134E+05	21.0
77.16	2.134E+05	21.0
77.50	2.133E+05	21.0
77.82	2.133E+05	21.0
78.15	2.133E+05	21.0
78.47	2.132E+05	21.0
78.81	2.132E+05	21.0
79.12	2.131E+05	21.0
79.46	2.131E+05	21.0
79.80	2.130E+05	21.0
80.14	2.130E+05	21.0
80.45	2.130E+05	21.0
80.79	2.129E+05	21.0
81.14	2.129E+05	21.0
81.45	2.128E+05	21.0
81.79	2.128E+05	21.0
82.13	2.128E+05	21.0
82.44	2.127E+05	21.0
82.77	2.127E+05	21.0
83.08	2.127E+05	21.0
83.40	2.126E+05	21.0
83.71	2.126E+05	21.0
84.03	2.125E+05	21.0
84.34	2.125E+05	21.0
84.68	2.124E+05	21.0
85.02	2.124E+05	21.0
85.33	2.124E+05	21.0
85.66	2.124E+05	21.0
85.97	2.123E+05	21.0
86.29	2.122E+05	21.0
86.61	2.122E+05	21.0
86.94	2.122E+05	21.0
87.28	2.121E+05	21.0
87.59	2.121E+05	21.0
87.91	2.120E+05	21.0
88.25	2.120E+05	21.0
88.55	2.120E+05	21.0
88.87	2.119E+05	21.0
89.19	2.119E+05	21.0
89.52	2.118E+05	21.0
89.86	2.118E+05	21.0
90.20	2.118E+05	21.0
90.54	2.117E+05	21.0
90.88	2.117E+05	21.0
