Time (s)	O2 conc. (ppm)
0.10	1.908E+05	17.0
0.62	1.908E+05	17.0
1.99	1.908E+05	17.0
2.29	1.908E+05	17.0
2.57	1.908E+05	17.0
2.85	1.908E+05	17.0
3.17	1.908E+05	17.0
3.48	1.908E+05	17.0
3.74	1.908E+05	17.0
4.03	1.908E+05	17.0
4.31	1.908E+05	17.0
4.59	1.908E+05	17.0
4.91	1.908E+05	17.0
5.19	1.908E+05	17.0
5.48	1.908E+05	17.0
5.76	1.908E+05	17.0
6.02	1.908E+05	17.0
6.31	1.908E+05	17.0
6.59	1.908E+05	17.0
6.88	1.908E+05	17.0
7.16	1.908E+05	17.0
7.44	1.908E+05	17.0
7.73	1.908E+05	17.0
8.01	1.908E+05	17.0
8.32	1.908E+05	17.0
8.61	1.908E+05	17.0
8.90	1.908E+05	17.0
9.18	1.908E+05	17.0
9.46	1.908E+05	17.0
9.75	1.908E+05	17.0
10.03	1.907E+05	17.0
10.32	1.907E+05	17.0
10.63	1.908E+05	17.0
10.91	1.908E+05	17.0
11.20	1.908E+05	17.0
11.50	1.908E+05	17.0
11.78	1.908E+05	17.0
12.06	1.907E+05	17.0
12.35	1.907E+05	17.0
12.63	1.907E+05	17.0
12.92	1.907E+05	17.0
13.20	1.907E+05	17.0
13.49	1.907E+05	17.0
13.80	1.907E+05	17.0
14.09	1.907E+05	17.0
14.37	1.906E+05	17.0
14.66	1.906E+05	17.0
14.94	1.906E+05	17.0
15.23	1.905E+05	17.0
15.52	1.905E+05	17.0
15.80	1.904E+05	17.0
16.09	1.903E+05	17.0
16.37	1.902E+05	17.0
16.69	1.902E+05	17.0
16.97	1.901E+05	17.0
17.26	1.899E+05	17.0
17.55	1.897E+05	17.0
17.83	1.896E+05	17.0
18.12	1.894E+05	17.0
18.43	1.892E+05	17.0
18.72	1.890E+05	17.0
19.00	1.889E+05	17.0
19.29	1.886E+05	17.0
19.60	1.884E+05	17.0
19.89	1.882E+05	17.0
20.18	1.879E+05	17.0
20.46	1.876E+05	17.0
20.78	1.873E+05	17.0
21.06	1.871E+05	17.0
21.35	1.868E+05	17.0
21.64	1.865E+05	17.0
21.93	1.862E+05	17.0
22.21	1.859E+05	17.0
22.50	1.855E+05	17.0
22.79	1.852E+05	17.0
23.07	1.849E+05	17.0
23.36	1.845E+05	17.0
23.64	1.842E+05	17.0
23.93	1.839E+05	17.0
24.22	1.835E+05	17.0
24.51	1.832E+05	17.0
24.79	1.828E+05	17.0
25.08	1.825E+05	17.0
25.39	1.821E+05	17.0
25.68	1.817E+05	17.0
25.96	1.813E+05	17.0
26.25	1.810E+05	17.0
26.54	1.806E+05	17.0
26.82	1.802E+05	17.0
27.11	1.799E+05	17.0
27.43	1.795E+05	17.0
27.74	1.791E+05	17.0
