Time (s)	O2 conc. (ppm)
0.11	1.880E+05	21.0
0.63	1.880E+05	21.0
1.96	1.880E+05	21.0
2.27	1.880E+05	21.0
2.55	1.880E+05	21.0
2.84	1.880E+05	21.0
3.12	1.880E+05	21.0
3.41	1.880E+05	21.0
3.69	1.880E+05	21.0
3.97	1.880E+05	21.0
4.27	1.880E+05	21.0
4.55	1.880E+05	21.0
4.86	1.880E+05	21.0
5.15	1.880E+05	21.0
5.46	1.880E+05	21.0
5.74	1.880E+05	21.0
6.03	1.880E+05	21.0
6.34	1.880E+05	21.0
6.62	1.880E+05	21.0
6.91	1.880E+05	21.0
7.20	1.880E+05	21.0
8.63	1.880E+05	21.0
8.92	1.880E+05	21.0
9.20	1.880E+05	21.0
9.52	1.880E+05	21.0
9.80	1.880E+05	21.0
10.09	1.880E+05	21.0
10.37	1.880E+05	21.0
10.66	1.880E+05	21.0
10.94	1.880E+05	21.0
11.22	1.880E+05	21.0
11.51	1.880E+05	21.0
11.79	1.880E+05	21.0
12.08	1.880E+05	21.0
12.37	1.880E+05	21.0
12.65	1.880E+05	21.0
12.94	1.880E+05	21.0
13.25	1.880E+05	21.0
13.56	1.880E+05	21.0
13.87	1.880E+05	21.0
14.15	1.880E+05	21.0
14.44	1.880E+05	21.0
14.73	1.880E+05	21.0
15.01	1.880E+05	21.0
15.30	1.881E+05	21.0
15.61	1.880E+05	21.0
15.89	1.881E+05	21.0
16.15	1.881E+05	21.0
16.44	1.881E+05	21.0
16.75	1.882E+05	21.0
17.04	1.882E+05	21.0
17.33	1.883E+05	21.0
17.61	1.883E+05	21.0
18.43	1.885E+05	21.0
18.75	1.886E+05	21.0
19.03	1.886E+05	21.0
19.32	1.887E+05	21.0
19.63	1.888E+05	21.0
19.92	1.889E+05	21.0
20.20	1.890E+05	21.0
20.49	1.892E+05	21.0
20.80	1.893E+05	21.0
21.09	1.894E+05	21.0
21.37	1.895E+05	21.0
21.66	1.897E+05	21.0
21.97	1.898E+05	21.0
22.26	1.899E+05	21.0
22.55	1.901E+05	21.0
22.84	1.902E+05	21.0
23.12	1.904E+05	21.0
23.41	1.906E+05	21.0
23.69	1.907E+05	21.0
23.98	1.909E+05	21.0
24.29	1.911E+05	21.0
24.58	1.913E+05	21.0
24.86	1.914E+05	21.0
25.18	1.917E+05	21.0
25.52	1.919E+05	21.0
25.81	1.921E+05	21.0
26.09	1.923E+05	21.0
26.41	1.925E+05	21.0
26.72	1.927E+05	21.0
27.03	1.929E+05	21.0
27.32	1.931E+05	21.0
27.61	1.933E+05	21.0
27.92	1.936E+05	21.0
28.23	1.938E+05	21.0
28.52	1.940E+05	21.0
28.80	1.942E+05	21.0
29.14	1.945E+05	21.0
29.43	1.947E+05	21.0
29.71	1.949E+05	21.0
30.05	1.951E+05	21.0
30.37	1.954E+05	21.0
30.66	1.956E+05	21.0
30.94	1.958E+05	21.0
31.23	1.960E+05	21.0
31.57	1.963E+05	21.0
31.85	1.965E+05	21.0
32.14	1.967E+05	21.0
32.43	1.969E+05	21.0
32.74	1.972E+05	21.0
33.04	1.974E+05	21.0
33.32	1.976E+05	21.0
33.61	1.978E+05	21.0
33.95	1.981E+05	21.0
34.26	1.983E+05	21.0
34.54	1.985E+05	21.0
34.83	1.987E+05	21.0
35.14	1.989E+05	21.0
35.43	1.992E+05	21.0
35.72	1.994E+05	21.0
36.00	1.996E+05	21.0
36.31	1.998E+05	21.0
36.63	2.000E+05	21.0
36.91	2.003E+05	21.0
37.20	2.005E+05	21.0
37.54	2.007E+05	21.0
37.85	2.009E+05	21.0
38.14	2.011E+05	21.0
38.46	2.013E+05	21.0
38.77	2.015E+05	21.0
39.05	2.017E+05	21.0
39.34	2.019E+05	21.0
39.68	2.021E+05	21.0
40.02	2.023E+05	21.0
40.30	2.025E+05	21.0
40.60	2.027E+05	21.0
40.91	2.029E+05	21.0
41.22	2.031E+05	21.0
41.51	2.033E+05	21.0
41.82	2.035E+05	21.0
42.11	2.036E+05	21.0
42.42	2.038E+05	21.0
42.74	2.040E+05	21.0
43.02	2.042E+05	21.0
43.31	2.044E+05	21.0
43.62	2.046E+05	21.0
43.91	2.047E+05	21.0
44.22	2.049E+05	21.0
44.53	2.050E+05	21.0
44.85	2.052E+05	21.0
45.13	2.054E+05	21.0
45.42	2.055E+05	21.0
45.73	2.057E+05	21.0
46.05	2.058E+05	21.0
46.33	2.060E+05	21.0
46.62	2.062E+05	21.0
46.90	2.063E+05	21.0
47.22	2.064E+05	21.0
47.50	2.066E+05	21.0
47.79	2.067E+05	21.0
48.10	2.068E+05	21.0
48.42	2.070E+05	21.0
48.73	2.071E+05	21.0
49.04	2.073E+05	21.0
49.36	2.074E+05	21.0
49.70	2.075E+05	21.0
50.01	2.077E+05	21.0
50.32	2.078E+05	21.0
50.63	2.079E+05	21.0
50.97	2.080E+05	21.0
51.29	2.082E+05	21.0
51.60	2.083E+05	21.0
51.89	2.084E+05	21.0
52.20	2.085E+05	21.0
52.51	2.086E+05	21.0
52.82	2.087E+05	21.0
53.16	2.088E+05	21.0
53.47	2.089E+05	21.0
53.77	2.089E+05	21.0
54.05	2.091E+05	21.0
54.34	2.091E+05	21.0
54.67	2.092E+05	21.0
54.96	2.093E+05	21.0
55.27	2.094E+05	21.0
55.58	2.095E+05	21.0
55.92	2.096E+05	21.0
56.24	2.096E+05	21.0
56.53	2.097E+05	21.0
56.84	2.098E+05	21.0
57.15	2.098E+05	21.0
57.46	2.099E+05	21.0
57.77	2.100E+05	21.0
58.09	2.100E+05	21.0
58.40	2.101E+05	21.0
58.71	2.101E+05	21.0
59.03	2.102E+05	21.0
59.34	2.102E+05	21.0
59.68	2.102E+05	21.0
59.99	2.103E+05	21.0
60.30	2.103E+05	21.0
60.61	2.104E+05	21.0
60.95	2.104E+05	21.0
61.27	2.104E+05	21.0
61.59	2.105E+05	21.0
61.90	2.105E+05	21.0
62.24	2.105E+05	21.0
62.55	2.106E+05	21.0
62.86	2.106E+05	21.0
63.17	2.106E+05	21.0
63.48	2.106E+05	21.0
63.79	2.107E+05	21.0
64.11	2.107E+05	21.0
64.42	2.107E+05	21.0
64.76	2.107E+05	21.0
65.09	2.107E+05	21.0
65.41	2.107E+05	21.0
65.72	2.107E+05	21.0
66.03	2.107E+05	21.0
66.34	2.107E+05	21.0
66.65	2.108E+05	21.0
67.00	2.107E+05	21.0
67.33	2.108E+05	21.0
67.65	2.107E+05	21.0
67.98	2.107E+05	21.0
68.29	2.107E+05	21.0
68.63	2.107E+05	21.0
68.94	2.107E+05	21.0
69.25	2.107E+05	21.0
69.57	2.106E+05	21.0
69.88	2.106E+05	21.0
70.19	2.106E+05	21.0
70.53	2.106E+05	21.0
70.84	2.106E+05	21.0
71.15	2.106E+05	21.0
71.46	2.105E+05	21.0
71.77	2.105E+05	21.0
72.10	2.105E+05	21.0
72.43	2.105E+05	21.0
72.74	2.104E+05	21.0
73.08	2.104E+05	21.0
73.42	2.104E+05	21.0
73.73	2.104E+05	21.0
74.07	2.104E+05	21.0
74.38	2.103E+05	21.0
74.73	2.103E+05	21.0
75.07	2.102E+05	21.0
75.38	2.102E+05	21.0
75.72	2.102E+05	21.0
76.06	2.102E+05	21.0
76.39	2.101E+05	21.0
76.71	2.101E+05	21.0
77.04	2.101E+05	21.0
77.37	2.100E+05	21.0
77.73	2.100E+05	21.0
78.07	2.100E+05	21.0
78.41	2.100E+05	21.0
78.74	2.099E+05	21.0
79.06	2.099E+05	21.0
79.37	2.099E+05	21.0
79.70	2.098E+05	21.0
80.02	2.097E+05	21.0
80.36	2.097E+05	21.0
80.67	2.097E+05	21.0
81.01	2.096E+05	21.0
81.35	2.096E+05	21.0
81.69	2.096E+05	21.0
82.00	2.095E+05	21.0
82.34	2.095E+05	21.0
82.66	2.095E+05	21.0
82.99	2.094E+05	21.0
83.33	2.094E+05	21.0
83.67	2.094E+05	21.0
84.01	2.093E+05	21.0
84.32	2.093E+05	21.0
84.66	2.093E+05	21.0
85.00	2.092E+05	21.0
85.34	2.092E+05	21.0
85.65	2.092E+05	21.0
85.97	2.091E+05	21.0
86.28	2.091E+05	21.0
86.61	2.091E+05	21.0
86.93	2.090E+05	21.0
87.26	2.090E+05	21.0
87.60	2.089E+05	21.0
87.98	2.089E+05	21.0
88.29	2.089E+05	21.0
88.62	2.089E+05	21.0
88.99	2.088E+05	21.0
89.33	2.088E+05	21.0
89.66	2.088E+05	21.0
90.00	2.087E+05	21.0
90.31	2.087E+05	21.0
90.66	2.086E+05	21.0
91.03	2.086E+05	21.0
91.34	2.086E+05	21.0
91.67	2.086E+05	21.0
92.01	2.085E+05	21.0
92.38	2.085E+05	21.0
92.72	2.085E+05	21.0
93.09	2.084E+05	21.0
93.46	2.084E+05	21.0
93.79	2.084E+05	21.0
94.16	2.084E+05	21.0
94.50	2.083E+05	21.0
94.81	2.083E+05	21.0
95.17	2.083E+05	21.0
95.51	2.083E+05	21.0
95.86	2.083E+05	21.0
96.22	2.082E+05	21.0
96.56	2.082E+05	21.0
