Time (s)	O2 conc. (ppm)
65.79	2.130E+05	21.0
66.10	2.130E+05	21.0
66.42	2.129E+05	21.0
66.76	2.129E+05	21.0
67.10	2.128E+05	21.0
67.41	2.127E+05	21.0
67.75	2.126E+05	21.0
68.07	2.125E+05	21.0
68.41	2.125E+05	21.0
68.75	2.124E+05	21.0
69.06	2.123E+05	21.0
69.37	2.123E+05	21.0
69.68	2.122E+05	21.0
70.02	2.121E+05	21.0
70.34	2.121E+05	21.0
70.65	2.120E+05	21.0
70.97	2.120E+05	21.0
71.31	2.119E+05	21.0
71.62	2.118E+05	21.0
71.96	2.117E+05	21.0
72.27	2.116E+05	21.0
72.61	2.116E+05	21.0
72.93	2.115E+05	21.0
73.24	2.115E+05	21.0
73.55	2.113E+05	21.0
73.89	2.113E+05	21.0
74.23	2.112E+05	21.0
74.54	2.112E+05	21.0
74.86	2.111E+05	21.0
75.19	2.111E+05	21.0
75.51	2.110E+05	21.0
75.85	2.109E+05	21.0
76.19	2.109E+05	21.0
76.52	2.109E+05	21.0
76.84	2.108E+05	21.0
77.18	2.108E+05	21.0
77.51	2.107E+05	21.0
77.82	2.106E+05	21.0
78.17	2.106E+05	21.0
78.51	2.106E+05	21.0
78.82	2.105E+05	21.0
79.16	2.105E+05	21.0
79.50	2.104E+05	21.0
79.81	2.104E+05	21.0
80.15	2.103E+05	21.0
80.47	2.103E+05	21.0
80.83	2.103E+05	21.0
81.17	2.102E+05	21.0
81.51	2.102E+05	21.0
81.87	2.102E+05	21.0
82.21	2.101E+05	21.0
82.55	2.101E+05	21.0
82.89	2.101E+05	21.0
83.21	2.100E+05	21.0
83.54	2.100E+05	21.0
83.88	2.100E+05	21.0
84.19	2.100E+05	21.0
84.53	2.099E+05	21.0
84.87	2.099E+05	21.0
85.23	2.099E+05	21.0
85.57	2.099E+05	21.0
85.89	2.099E+05	21.0
86.23	2.098E+05	21.0
86.54	2.098E+05	21.0
86.88	2.098E+05	21.0
87.22	2.098E+05	21.0
87.55	2.098E+05	21.0
87.89	2.098E+05	21.0
88.21	2.097E+05	21.0
88.55	2.097E+05	21.0
88.92	2.097E+05	21.0
89.25	2.097E+05	21.0
89.59	2.097E+05	21.0
89.90	2.097E+05	21.0
90.24	2.097E+05	21.0
90.57	2.097E+05	21.0
90.92	2.097E+05	21.0
91.26	2.097E+05	21.0
91.57	2.097E+05	21.0
91.91	2.098E+05	21.0
92.22	2.097E+05	21.0
92.55	2.097E+05	21.0
92.89	2.097E+05	21.0
93.23	2.097E+05	21.0
93.55	2.097E+05	21.0
93.89	2.097E+05	21.0
94.22	2.098E+05	21.0
94.54	2.097E+05	21.0
94.88	2.097E+05	21.0
95.21	2.098E+05	21.0
95.55	2.098E+05	21.0
95.89	2.098E+05	21.0
96.24	2.098E+05	21.0
96.58	2.098E+05	21.0
96.91	2.099E+05	21.0
97.25	2.099E+05	21.0
97.62	2.099E+05	21.0
97.96	2.099E+05	21.0
98.29	2.099E+05	21.0
98.63	2.099E+05	21.0
98.98	2.099E+05	21.0
99.31	2.100E+05	21.0
99.67	2.100E+05	21.0
99.99	2.100E+05	21.0
100.33	2.100E+05	21.0
100.66	2.100E+05	21.0
101.00	2.100E+05	21.0
101.35	2.101E+05	21.0
101.69	2.101E+05	21.0
102.02	2.101E+05	21.0
102.36	2.101E+05	21.0
102.70	2.101E+05	21.0
103.04	2.101E+05	21.0
103.37	2.101E+05	21.0
103.71	2.101E+05	21.0
104.06	2.102E+05	21.0
104.40	2.102E+05	21.0
104.76	2.102E+05	21.0
105.10	2.102E+05	21.0
105.46	2.103E+05	21.0
105.80	2.102E+05	21.0
106.14	2.102E+05	21.0
106.49	2.103E+05	21.0
106.83	2.103E+05	21.0
107.19	2.103E+05	21.0
107.53	2.103E+05	21.0
107.89	2.103E+05	21.0
108.23	2.104E+05	21.0
108.57	2.104E+05	21.0
108.93	2.104E+05	21.0
109.28	2.104E+05	21.0
109.62	2.104E+05	21.0
109.96	2.105E+05	21.0
110.30	2.105E+05	21.0
110.63	2.105E+05	21.0
111.00	2.105E+05	21.0
111.34	2.105E+05	21.0
111.67	2.105E+05	21.0
112.02	2.105E+05	21.0
112.35	2.106E+05	21.0
112.69	2.106E+05	21.0
113.06	2.106E+05	21.0
113.40	2.106E+05	21.0
113.74	2.107E+05	21.0
