Time (s)	O2 conc. (ppm)
0.10	1.883E+05	21.0
0.66	1.884E+05	21.0
2.93	1.884E+05	21.0
3.25	1.884E+05	21.0
3.53	1.884E+05	21.0
3.84	1.884E+05	21.0
4.13	1.884E+05	21.0
4.41	1.884E+05	21.0
4.69	1.884E+05	21.0
4.95	1.884E+05	21.0
5.24	1.883E+05	21.0
5.53	1.884E+05	21.0
5.82	1.884E+05	21.0
6.13	1.884E+05	21.0
6.41	1.884E+05	21.0
6.69	1.884E+05	21.0
6.98	1.884E+05	21.0
7.26	1.884E+05	21.0
7.57	1.884E+05	21.0
7.86	1.884E+05	21.0
8.14	1.883E+05	21.0
8.43	1.884E+05	21.0
8.72	1.884E+05	21.0
9.00	1.884E+05	21.0
9.29	1.884E+05	21.0
9.57	1.884E+05	21.0
9.86	1.884E+05	21.0
10.14	1.884E+05	21.0
10.43	1.884E+05	21.0
10.71	1.884E+05	21.0
11.00	1.884E+05	21.0
11.31	1.884E+05	21.0
11.59	1.884E+05	21.0
11.90	1.884E+05	21.0
12.19	1.884E+05	21.0
12.47	1.884E+05	21.0
12.75	1.884E+05	21.0
13.04	1.884E+05	21.0
13.32	1.884E+05	21.0
13.61	1.884E+05	21.0
13.92	1.884E+05	21.0
14.21	1.884E+05	21.0
14.49	1.884E+05	21.0
14.77	1.884E+05	21.0
15.06	1.884E+05	21.0
15.35	1.885E+05	21.0
15.66	1.885E+05	21.0
15.98	1.885E+05	21.0
16.26	1.885E+05	21.0
16.57	1.885E+05	21.0
16.85	1.886E+05	21.0
17.14	1.886E+05	21.0
17.45	1.886E+05	21.0
17.73	1.887E+05	21.0
18.02	1.887E+05	21.0
18.30	1.888E+05	21.0
18.60	1.888E+05	21.0
18.88	1.889E+05	21.0
19.17	1.889E+05	21.0
19.48	1.890E+05	21.0
19.77	1.891E+05	21.0
20.05	1.892E+05	21.0
20.34	1.893E+05	21.0
20.65	1.894E+05	21.0
20.94	1.895E+05	21.0
21.25	1.896E+05	21.0
21.54	1.898E+05	21.0
21.82	1.899E+05	21.0
22.11	1.900E+05	21.0
22.42	1.902E+05	21.0
22.71	1.903E+05	21.0
22.99	1.905E+05	21.0
23.28	1.906E+05	21.0
23.56	1.908E+05	21.0
23.85	1.910E+05	21.0
24.19	1.911E+05	21.0
24.48	1.914E+05	21.0
24.76	1.915E+05	21.0
25.05	1.917E+05	21.0
25.37	1.919E+05	21.0
25.65	1.921E+05	21.0
25.96	1.923E+05	21.0
26.27	1.925E+05	21.0
26.60	1.928E+05	21.0
26.88	1.929E+05	21.0
27.17	1.931E+05	21.0
27.45	1.934E+05	21.0
27.77	1.936E+05	21.0
28.05	1.938E+05	21.0
28.34	1.940E+05	21.0
28.65	1.943E+05	21.0
28.96	1.945E+05	21.0
29.28	1.948E+05	21.0
29.57	1.950E+05	21.0
29.85	1.952E+05	21.0
30.16	1.955E+05	21.0
30.48	1.957E+05	21.0
30.76	1.959E+05	21.0
31.05	1.962E+05	21.0
31.36	1.965E+05	21.0
31.68	1.967E+05	21.0
31.97	1.969E+05	21.0
32.25	1.972E+05	21.0
32.56	1.974E+05	21.0
32.87	1.977E+05	21.0
33.16	1.979E+05	21.0
33.47	1.982E+05	21.0
33.78	1.984E+05	21.0
34.07	1.986E+05	21.0
34.36	1.989E+05	21.0
34.68	1.992E+05	21.0
34.99	1.994E+05	21.0
35.31	1.996E+05	21.0
35.62	1.999E+05	21.0
35.93	2.002E+05	21.0
36.24	2.004E+05	21.0
36.56	2.007E+05	21.0
36.90	2.010E+05	21.0
37.21	2.012E+05	21.0
37.53	2.014E+05	21.0
37.81	2.017E+05	21.0
38.12	2.020E+05	21.0
38.44	2.022E+05	21.0
38.75	2.024E+05	21.0
39.06	2.026E+05	21.0
39.37	2.029E+05	21.0
39.69	2.032E+05	21.0
40.03	2.034E+05	21.0
40.34	2.036E+05	21.0
40.66	2.039E+05	21.0
40.97	2.041E+05	21.0
41.28	2.044E+05	21.0
41.60	2.046E+05	21.0
41.91	2.048E+05	21.0
42.23	2.050E+05	21.0
42.54	2.053E+05	21.0
42.85	2.055E+05	21.0
43.17	2.057E+05	21.0
43.48	2.060E+05	21.0
43.79	2.061E+05	21.0
44.08	2.063E+05	21.0
44.39	2.066E+05	21.0
44.74	2.068E+05	21.0
45.05	2.069E+05	21.0
45.36	2.072E+05	21.0
45.68	2.074E+05	21.0
45.99	2.076E+05	21.0
46.30	2.078E+05	21.0
46.61	2.080E+05	21.0
46.93	2.082E+05	21.0
47.24	2.084E+05	21.0
47.56	2.086E+05	21.0
47.87	2.088E+05	21.0
48.18	2.089E+05	21.0
48.50	2.091E+05	21.0
48.81	2.093E+05	21.0
49.12	2.095E+05	21.0
49.44	2.096E+05	21.0
49.75	2.098E+05	21.0
50.07	2.100E+05	21.0
50.38	2.101E+05	21.0
50.69	2.103E+05	21.0
51.00	2.104E+05	21.0
51.34	2.106E+05	21.0
51.66	2.108E+05	21.0
51.97	2.109E+05	21.0
52.28	2.111E+05	21.0
52.60	2.112E+05	21.0
52.92	2.114E+05	21.0
53.23	2.115E+05	21.0
53.54	2.116E+05	21.0
53.86	2.117E+05	21.0
54.17	2.119E+05	21.0
54.48	2.120E+05	21.0
54.79	2.121E+05	21.0
55.11	2.123E+05	21.0
55.42	2.124E+05	21.0
55.74	2.125E+05	21.0
56.05	2.126E+05	21.0
56.37	2.127E+05	21.0
56.68	2.128E+05	21.0
56.99	2.129E+05	21.0
57.30	2.130E+05	21.0
57.64	2.131E+05	21.0
57.99	2.133E+05	21.0
58.30	2.134E+05	21.0
58.61	2.135E+05	21.0
58.93	2.135E+05	21.0
59.26	2.136E+05	21.0
59.58	2.137E+05	21.0
59.89	2.138E+05	21.0
60.23	2.139E+05	21.0
60.52	2.139E+05	21.0
60.86	2.140E+05	21.0
61.17	2.141E+05	21.0
61.51	2.141E+05	21.0
61.82	2.142E+05	21.0
62.13	2.143E+05	21.0
62.45	2.143E+05	21.0
62.79	2.144E+05	21.0
63.10	2.144E+05	21.0
63.41	2.145E+05	21.0
63.73	2.145E+05	21.0
64.07	2.146E+05	21.0
64.38	2.146E+05	21.0
64.71	2.147E+05	21.0
65.03	2.147E+05	21.0
65.36	2.147E+05	21.0
65.68	2.148E+05	21.0
66.00	2.148E+05	21.0
66.31	2.149E+05	21.0
66.65	2.149E+05	21.0
66.99	2.149E+05	21.0
67.32	2.149E+05	21.0
67.66	2.150E+05	21.0
67.97	2.150E+05	21.0
68.32	2.150E+05	21.0
68.66	2.150E+05	21.0
69.00	2.150E+05	21.0
69.33	2.150E+05	21.0
69.70	2.151E+05	21.0
70.01	2.150E+05	21.0
70.32	2.150E+05	21.0
70.63	2.150E+05	21.0
70.97	2.150E+05	21.0
71.29	2.150E+05	21.0
71.62	2.150E+05	21.0
71.96	2.150E+05	21.0
72.33	2.150E+05	21.0
72.64	2.150E+05	21.0
72.98	2.150E+05	21.0
73.29	2.150E+05	21.0
73.63	2.150E+05	21.0
73.97	2.150E+05	21.0
74.31	2.150E+05	21.0
74.65	2.149E+05	21.0
74.99	2.149E+05	21.0
75.30	2.149E+05	21.0
75.64	2.149E+05	21.0
75.96	2.148E+05	21.0
76.30	2.148E+05	21.0
76.61	2.147E+05	21.0
76.95	2.147E+05	21.0
77.29	2.147E+05	21.0
77.62	2.146E+05	21.0
77.94	2.146E+05	21.0
78.27	2.146E+05	21.0
78.59	2.146E+05	21.0
78.93	2.146E+05	21.0
79.27	2.145E+05	21.0
79.58	2.145E+05	21.0
79.92	2.144E+05	21.0
80.25	2.144E+05	21.0
80.59	2.144E+05	21.0
80.93	2.143E+05	21.0
81.28	2.143E+05	21.0
81.61	2.142E+05	21.0
81.95	2.142E+05	21.0
82.29	2.141E+05	21.0
82.60	2.141E+05	21.0
82.92	2.141E+05	21.0
83.23	2.140E+05	21.0
83.56	2.140E+05	21.0
83.91	2.140E+05	21.0
84.22	2.139E+05	21.0
84.56	2.139E+05	21.0
84.87	2.138E+05	21.0
85.21	2.138E+05	21.0
85.55	2.137E+05	21.0
85.86	2.137E+05	21.0
86.20	2.136E+05	21.0
86.54	2.136E+05	21.0
86.85	2.135E+05	21.0
87.19	2.135E+05	21.0
87.53	2.134E+05	21.0
87.87	2.134E+05	21.0
88.21	2.133E+05	21.0
88.52	2.133E+05	21.0
88.86	2.132E+05	21.0
89.18	2.131E+05	21.0
89.49	2.131E+05	21.0
89.80	2.131E+05	21.0
90.14	2.130E+05	21.0
90.48	2.130E+05	21.0
90.79	2.129E+05	21.0
91.13	2.129E+05	21.0
91.47	2.129E+05	21.0
91.79	2.128E+05	21.0
92.13	2.127E+05	21.0
92.49	2.127E+05	21.0
92.83	2.127E+05	21.0
93.20	2.126E+05	21.0
93.51	2.125E+05	21.0
93.85	2.125E+05	21.0
94.17	2.125E+05	21.0
94.51	2.124E+05	21.0
94.87	2.124E+05	21.0
95.21	2.123E+05	21.0
95.55	2.123E+05	21.0
95.89	2.122E+05	21.0
96.23	2.122E+05	21.0
96.56	2.122E+05	21.0
96.88	2.121E+05	21.0
97.22	2.121E+05	21.0
97.58	2.120E+05	21.0
97.92	2.120E+05	21.0
98.26	2.119E+05	21.0
98.60	2.119E+05	21.0
98.97	2.118E+05	21.0
99.31	2.118E+05	21.0
99.65	2.117E+05	21.0
100.02	2.117E+05	21.0
100.35	2.117E+05	21.0
100.69	2.116E+05	21.0
101.06	2.116E+05	21.0
101.42	2.116E+05	21.0
101.76	2.115E+05	21.0
102.13	2.114E+05	21.0
102.47	2.114E+05	21.0
102.80	2.114E+05	21.0
103.17	2.114E+05	21.0
103.51	2.113E+05	21.0
103.85	2.113E+05	21.0
104.21	2.113E+05	21.0
104.56	2.112E+05	21.0
104.90	2.112E+05	21.0
105.26	2.111E+05	21.0
105.60	2.111E+05	21.0
105.97	2.111E+05	21.0
106.33	2.110E+05	21.0
106.67	2.110E+05	21.0
107.01	2.110E+05	21.0
107.38	2.110E+05	21.0
107.72	2.109E+05	21.0
108.05	2.109E+05	21.0
108.39	2.109E+05	21.0
108.75	2.109E+05	21.0
109.10	2.108E+05	21.0
109.46	2.108E+05	21.0
109.80	2.108E+05	21.0
110.17	2.107E+05	21.0
110.54	2.107E+05	21.0
110.87	2.107E+05	21.0
111.21	2.107E+05	21.0
111.57	2.107E+05	21.0
111.91	2.106E+05	21.0
112.26	2.106E+05	21.0
112.62	2.106E+05	21.0
112.97	2.105E+05	21.0
113.30	2.105E+05	21.0
113.67	2.105E+05	21.0
114.01	2.105E+05	21.0
114.37	2.105E+05	21.0
114.74	2.105E+05	21.0
115.09	2.105E+05	21.0
115.42	2.104E+05	21.0
115.76	2.104E+05	21.0
116.12	2.104E+05	21.0
116.49	2.104E+05	21.0
116.88	2.104E+05	21.0
117.25	2.104E+05	21.0
117.59	2.104E+05	21.0
117.93	2.104E+05	21.0
118.27	2.103E+05	21.0
118.63	2.103E+05	21.0
119.00	2.103E+05	21.0
119.34	2.103E+05	21.0
119.70	2.103E+05	21.0
120.04	2.103E+05	21.0
120.38	2.103E+05	21.0
120.75	2.103E+05	21.0
121.11	2.103E+05	21.0
121.48	2.102E+05	21.0
121.82	2.102E+05	21.0
122.19	2.103E+05	21.0
122.55	2.102E+05	21.0
122.90	2.102E+05	21.0
123.24	2.102E+05	21.0
123.57	2.102E+05	21.0
123.97	2.102E+05	21.0
124.33	2.102E+05	21.0
124.69	2.102E+05	21.0
125.06	2.102E+05	21.0
125.43	2.102E+05	21.0
125.79	2.102E+05	21.0
126.16	2.102E+05	21.0
126.52	2.102E+05	21.0
126.89	2.102E+05	21.0
127.25	2.102E+05	21.0
127.61	2.102E+05	21.0
127.99	2.102E+05	21.0
128.35	2.102E+05	21.0
128.74	2.101E+05	21.0
129.11	2.102E+05	21.0
129.47	2.102E+05	21.0
129.84	2.102E+05	21.0
130.23	2.102E+05	21.0
130.58	2.101E+05	21.0
130.94	2.101E+05	21.0
131.31	2.102E+05	21.0
131.68	2.102E+05	21.0
132.04	2.102E+05	21.0
132.38	2.101E+05	21.0
132.75	2.102E+05	21.0
133.11	2.101E+05	21.0
133.45	2.101E+05	21.0
133.82	2.102E+05	21.0
134.21	2.101E+05	21.0
134.58	2.102E+05	21.0
134.94	2.102E+05	21.0
135.31	2.102E+05	21.0
135.67	2.102E+05	21.0
136.04	2.102E+05	21.0
136.41	2.102E+05	21.0
136.77	2.102E+05	21.0
137.14	2.102E+05	21.0
137.50	2.102E+05	21.0
137.87	2.102E+05	21.0
138.23	2.102E+05	21.0
138.60	2.102E+05	21.0
138.97	2.102E+05	21.0
139.36	2.102E+05	21.0
139.72	2.102E+05	21.0
140.09	2.102E+05	21.0
140.45	2.102E+05	21.0
140.82	2.102E+05	21.0
141.19	2.102E+05	21.0
141.55	2.102E+05	21.0
141.92	2.102E+05	21.0
142.31	2.102E+05	21.0
142.67	2.102E+05	21.0
143.04	2.102E+05	21.0
143.40	2.103E+05	21.0
143.77	2.103E+05	21.0
144.17	2.103E+05	21.0
144.56	2.103E+05	21.0
144.92	2.103E+05	21.0
145.29	2.103E+05	21.0
145.65	2.102E+05	21.0
146.02	2.103E+05	21.0
146.39	2.103E+05	21.0
146.75	2.103E+05	21.0
147.14	2.103E+05	21.0
147.54	2.103E+05	21.0
147.90	2.103E+05	21.0
